input = |2-8 t: pncmjxlvckfbtrjh\n| &&
        |11-13 l: vcllllnhlllvvllll\n| &&
        |1-9 j: wjjjjjjjnjjjj\n| &&
        |4-8 n: xnlbndngnn\n| &&
        |4-5 f: fffmfz\n| &&
        |7-8 c: pwmzcxvc\n| &&
        |15-17 z: zzzzfzzzzzzzzzzzx\n| &&
        |4-8 d: krddfddxddd\n| &&
        |1-2 w: wpzxcbxmcktpjmspw\n| &&
        |4-14 t: ptcdtvtttbpwtttt\n| &&
        |8-13 f: fmfkffdffqfff\n| &&
        |6-7 j: jwnxpjlnrlxdjxvzhsll\n| &&
        |2-5 m: mmmmmm\n| &&
        |3-4 c: cccc\n| &&
        |3-11 f: fffrvfzqnmffd\n| &&
        |3-5 k: kkxrkkk\n| &&
        |5-8 k: kkkvskvkkkhsk\n| &&
        |12-14 k: jkkkkdkkkmfzkknkpkk\n| &&
        |1-2 h: vhspjh\n| &&
        |3-4 p: pppn\n| &&
        |5-6 v: vrvdvg\n| &&
        |7-8 j: jxrjjjtdjjj\n| &&
        |3-12 z: fzzxzgzzzzzhzz\n| &&
        |10-12 v: vvvvvvvvgvxxv\n| &&
        |12-13 k: kkkplnlpvwkkkkkt\n| &&
        |4-8 t: dvjtltttptt\n| &&
        |15-16 z: zzzzlzzzzzlwzzzhzz\n| &&
        |15-17 n: nnnnnnnnnnnnnnlnn\n| &&
        |12-15 z: zjzzzzzzzzzzzzs\n| &&
        |7-8 x: hzxnxlxlfxxxxvxxxnx\n| &&
        |9-10 r: rrrrrwrrrp\n| &&
        |1-7 r: vrfslcr\n| &&
        |6-15 t: tttttsttttttttt\n| &&
        |3-6 j: wjjdnjznwfclpskvdq\n| &&
        |2-4 v: vzlvls\n| &&
        |9-10 j: jjjjjjjjwj\n| &&
        |8-9 r: kxrrrtqnr\n| &&
        |14-16 h: hhhhhhhhhhhfhlhjhhh\n| &&
        |14-15 x: xxxxxxxxxxxxxmx\n| &&
        |8-10 h: hhhhhhhhhhh\n| &&
        |10-11 m: mmmmmmmmmnnmm\n| &&
        |3-17 r: fwmqrcjkgrkhzcnfrb\n| &&
        |1-15 q: qqqmqzqgcnrqqlkrq\n| &&
        |2-13 w: wdwwwwwwwtwww\n| &&
        |1-8 l: lllbllln\n| &&
        |4-7 n: nnnnnnbnnn\n| &&
        |11-18 l: lkllnllqktnllzllll\n| &&
        |4-5 d: gddbrlb\n| &&
        |12-13 l: llllllnllllztl\n| &&
        |2-6 m: lbhptlvgcsmksqspmtk\n| &&
        |1-2 t: wtctt\n| &&
        |3-4 w: wwbw\n| &&
        |9-12 g: gcggvzggqzgggggsgnt\n| &&
        |2-6 b: bbrcbc\n| &&
        |9-12 m: mmgmkmmmbmmm\n| &&
        |14-17 m: mgpjmmqmmmmmmmmmt\n| &&
        |6-8 p: dpvzpskp\n| &&
        |12-18 x: xxxxxxxxxxxtxxxxxf\n| &&
        |7-12 r: xvjvrrrprrrvrrrcbr\n| &&
        |3-5 q: rqqxhqq\n| &&
        |6-16 s: ssssskssssssssssss\n| &&
        |6-9 c: cccqccccxc\n| &&
        |8-16 r: rrrrrrrrrrcrrrhr\n| &&
        |5-9 t: ctwttthtjl\n| &&
        |16-18 t: ttttttttmttttttttgtt\n| &&
        |13-16 t: zrtttgttttttmttttt\n| &&
        |6-10 k: kntkplgkkkkkmh\n| &&
        |2-4 c: vhsccfcc\n| &&
        |1-4 v: vvvqvvgpvvvvvzzv\n| &&
        |3-4 g: grgvgd\n| &&
        |5-9 p: pppbppppdv\n| &&
        |3-4 x: lxxxx\n| &&
        |8-9 q: qqqqqqzqqqqq\n| &&
        |14-15 c: cpcccccccmcccdcc\n| &&
        |7-10 p: ppfppppppppg\n| &&
        |1-2 h: thrk\n| &&
        |1-3 m: mzlzmtmqrm\n| &&
        |3-5 x: xxxxp\n| &&
        |4-6 t: gtstvvjzqtxdtsrfc\n| &&
        |6-15 p: pppwppwspppcppn\n| &&
        |4-5 g: tkhgj\n| &&
        |10-14 m: mmmmmmmmmnrmmmm\n| &&
        |2-3 b: pnbxfzxxbbrt\n| &&
        |5-16 b: tfvlbmbzbvxbtdjl\n| &&
        |16-19 w: wwwwwwwwjwwlbwwvwwwr\n| &&
        |14-15 w: wwwwwwwwwwwwwgwww\n| &&
        |3-6 n: npvzfntbfvngns\n| &&
        |8-10 s: sgsssssssz\n| &&
        |2-5 n: nnnkcnkn\n| &&
        |12-15 n: nnnnnnnnnnqnnnq\n| &&
        |1-4 p: qppk\n| &&
        |5-10 h: ghdhhcsxtzsdphwh\n| &&
        |5-7 k: kkkkkkb\n| &&
        |10-11 f: ffhlfffcnffmfrffcnff\n| &&
        |6-7 f: fffjfxf\n| &&
        |11-17 j: jjjjjjjjnjjjjjjjj\n| &&
        |2-4 z: wgrdp\n| &&
        |5-6 d: dpmdddfmxzgwd\n| &&
        |8-12 h: qhhhxhnhhhsmhlhh\n| &&
        |7-19 w: wwwwwwwwwwwwwwwwwwmw\n| &&
        |1-4 x: mmlxlc\n| &&
        |1-9 g: mgggggggggggg\n| &&
        |1-12 z: mtkfgpzmjrgs\n| &&
        |7-8 v: vvvgvvzvd\n| &&
        |10-12 j: djjjjjjjjbjj\n| &&
        |3-4 r: srjsfjbrp\n| &&
        |1-4 r: trrr\n| &&
        |3-8 j: jjjjjjjpj\n| &&
        |6-7 l: lltllwl\n| &&
        |13-14 g: gggggggggggggg\n| &&
        |1-4 w: wwrxww\n| &&
        |1-10 l: xfllllldll\n| &&
        |5-7 s: xmwsqpsr\n| &&
        |6-17 p: pkpnpppznppppplpl\n| &&
        |11-12 s: sssssssssdsf\n| &&
        |14-19 c: bsxlpshjmwcflcdhlhcr\n| &&
        |8-12 b: xbnbbbbbmbbkbbbb\n| &&
        |14-16 w: wwwcwwwwwwtwwswww\n| &&
        |13-14 f: zfsfbbffffffsf\n| &&
        |13-15 s: swssssssjsssxss\n| &&
        |1-3 v: vvnvxrwbrbgdc\n| &&
        |8-10 t: mkstnqtttt\n| &&
        |14-15 g: gggptgggggggggtg\n| &&
        |12-15 r: rrrrrrrrrrrrrrkr\n| &&
        |2-5 w: cjwpg\n| &&
        |13-14 w: wwwwwwwwwwwwqw\n| &&
        |5-12 s: bkrrcczsgsfshpwjr\n| &&
        |4-9 w: wwwwwwwwwsnw\n| &&
        |3-4 x: xxxzv\n| &&
        |3-6 g: rggghqvgfk\n| &&
        |9-12 h: hhhdhshwhhkrqhh\n| &&
        |8-11 q: zqqqqqqmqqhq\n| &&
        |5-7 j: ngxjlbhjjjj\n| &&
        |8-9 p: rpxpdqcpkp\n| &&
        |11-13 d: htbdddddddjdddd\n| &&
        |2-3 p: hpbp\n| &&
        |3-4 x: xxxq\n| &&
        |4-7 m: mmmlmmm\n| &&
        |7-8 r: rrrrrrqr\n| &&
        |9-11 x: xxxxxxxxxxx\n| &&
        |5-8 h: hhhhflbv\n| &&
        |1-2 k: vkrkzjpwtbk\n| &&
        |8-10 p: pppppppxpg\n| &&
        |9-10 h: lhbhhhhhnqhh\n| &&
        |3-9 x: xxmqxxxxgx\n| &&
        |17-18 p: ppppppppppppppzpqwp\n| &&
        |8-9 x: xxxxxxxxx\n| &&
        |1-6 l: lrblvjllhll\n| &&
        |1-4 k: klkk\n| &&
        |6-8 m: mmmmmbmmmm\n| &&
        |1-6 h: hhvhqkh\n| &&
        |5-7 n: nnnnwnss\n| &&
        |6-7 k: kkkkkzkksl\n| &&
        |6-9 b: bbbbbbbbm\n| &&
        |9-14 k: kbkkfkkkkkchtklkg\n| &&
        |3-4 f: fcjpff\n| &&
        |6-12 f: fzfxfrqlvhwflfglftpb\n| &&
        |7-8 j: djjjjjjsj\n| &&
        |13-15 v: vvvvvvvrvvvvvbvvvvv\n| &&
        |2-11 p: qpnpfmppphxpp\n| &&
        |3-4 g: ggwgg\n| &&
        |1-4 q: nqqq\n| &&
        |4-9 t: thpqpkxntg\n| &&
        |1-16 l: dllllllljlllllllll\n| &&
        |3-8 w: dbwwhxwzqwph\n| &&
        |13-15 p: ppppppppppppqpm\n| &&
        |4-5 b: bbmbqbthmbn\n| &&
        |2-4 d: zddq\n| &&
        |2-7 x: vpmchtzdbxxxxnxd\n| &&
        |11-13 x: xxxxxxxxxxjxxx\n| &&
        |7-9 m: mmdjmmmnm\n| &&
        |10-12 j: jjjjjjjjjjjx\n| &&
        |12-14 j: wfcvflhjvblzdf\n| &&
        |2-12 j: lqfjjjzncbgjhj\n| &&
        |2-7 j: jtlfjqjbjgqrxgjm\n| &&
        |4-5 t: ttttc\n| &&
        |5-8 v: vvvvvbvpvv\n| &&
        |4-10 b: qghbgkcbbs\n| &&
        |12-14 n: nnnnnnnnnnnnnhnn\n| &&
        |13-19 v: vvvvvvvvvvvrvvvvvvv\n| &&
        |4-16 z: znzvzzzwgzzzzzzzzdz\n| &&
        |4-13 q: qqqlqqqqqnqqlqqm\n| &&
        |9-10 q: qqqqqqqqrs\n| &&
        |2-12 q: qpqszqxqqqqkq\n| &&
        |10-16 v: vvfvvvvvsxvznfvv\n| &&
        |1-3 f: fvjpkglwfjbcgnbc\n| &&
        |2-7 v: vfvqvvv\n| &&
        |6-8 l: llllcllllll\n| &&
        |9-14 v: vvvvvvvvzvvvvwb\n| &&
        |10-11 s: ssmsssssssxsls\n| &&
        |9-10 b: bxbbfbbxbzbzjbbm\n| &&
        |3-15 x: xcxxxxpxxxxxdgxg\n| &&
        |10-13 k: kkkpkjmkscgxkhkbkgd\n| &&
        |2-4 j: djqhc\n| &&
        |9-10 c: cccccrccds\n| &&
        |7-10 v: vvbvvvvjjpvkv\n| &&
        |13-16 n: nnnnnnndnnnnqnnsnnnc\n| &&
        |2-4 g: qfgg\n| &&
        |3-13 v: hvvvvvzrvqvcpvvhj\n| &&
        |5-12 n: rnsnnpnnnnntnnn\n| &&
        |7-8 p: pppptpppp\n| &&
        |1-6 d: cdddqdddddd\n| &&
        |3-5 h: cwzhhhbwlhtd\n| &&
        |8-17 j: jnjdscnljmhrljrjjmjj\n| &&
        |3-4 j: jccj\n| &&
        |4-14 m: mmjkmmhwqbkjqmg\n| &&
        |2-4 b: bbbd\n| &&
        |4-7 v: vhlvvvq\n| &&
        |1-4 p: jppm\n| &&
        |9-12 g: vggzgppggggnggcdfp\n| &&
        |5-6 r: rrrrrp\n| &&
        |6-13 t: bxztttrtbttrm\n| &&
        |17-19 d: ddddddrddddwddddpdk\n| &&
        |1-3 w: jwjwwc\n| &&
        |5-6 k: kkkkkk\n| &&
        |5-6 f: ffffjxff\n| &&
        |8-10 x: xxxxxxxwxl\n| &&
        |6-8 q: qqqqqqqq\n| &&
        |5-8 d: fddtdbfdkddddddjd\n| &&
        |7-15 k: kkkkklnfkqkkxqkkvkk\n| &&
        |2-5 x: cqzxxx\n| &&
        |3-4 j: jjjb\n| &&
        |7-8 w: wwwwwwlw\n| &&
        |18-20 g: gggggggggggggggggggg\n| &&
        |10-11 w: hwwwwwwwnwmwws\n| &&
        |2-10 d: xsdjqqrqzdnhgmvlhkgm\n| &&
        |2-3 s: rsxhms\n| &&
        |7-8 n: tdnnznwpnnn\n| &&
        |10-12 g: gggggggggggg\n| &&
        |7-13 z: zfxzqzzmzzzrndzkvz\n| &&
        |11-12 k: kkkkkkkkkkkk\n| &&
        |6-7 t: ttjxxtc\n| &&
        |4-6 n: nwzlfxnnn\n| &&
        |4-6 j: jjjdmj\n| &&
        |8-14 p: xgspprprpppppppp\n| &&
        |6-7 k: kkkjkkzktn\n| &&
        |5-8 d: dddddmdt\n| &&
        |4-6 j: jfhjjb\n| &&
        |3-4 k: jrkckdwqjbcctpklm\n| &&
        |6-9 w: wwwqwxqwzkwgwwwvqbs\n| &&
        |1-4 t: gthttttttt\n| &&
        |3-4 h: bhhb\n| &&
        |4-6 t: ttqltktv\n| &&
        |11-17 v: vvvvdvvvvvpvvvvvvvv\n| &&
        |13-14 d: ddndddwddkcdvkddddkn\n| &&
        |3-4 b: xhdb\n| &&
        |3-7 w: zwcptvwlkswv\n| &&
        |8-11 p: pptpppppppm\n| &&
        |5-14 p: wpmpnplrppppppptp\n| &&
        |1-3 q: stqdkc\n| &&
        |10-11 c: ccccccccccv\n| &&
        |1-7 s: msszslsps\n| &&
        |12-14 h: hhghhnhhhhhhhmh\n| &&
        |14-16 g: gscwmsggggdgggmg\n| &&
        |7-12 z: htztzwzzkzzkrzzzlz\n| &&
        |3-6 n: dcnnvn\n| &&
        |3-7 k: kkkkkkj\n| &&
        |2-3 m: vmlkkjn\n| &&
        |12-13 r: rrrrlrrrrrrrrr\n| &&
        |6-7 z: zzzzhxxczzsd\n| &&
        |2-7 g: htjgfggbllbgxggq\n| &&
        |13-17 m: xhhnpmdxfpvsmjzwb\n| &&
        |7-9 h: hhhhhhhhjh\n| &&
        |3-4 z: zrzzz\n| &&
        |1-5 l: llgwlszllvxxmflglldt\n| &&
        |7-9 v: vvvvvvmvcq\n| &&
        |5-7 r: rrzcwsmrrgrwxnrg\n| &&
        |14-16 t: twttpttntttttttlt\n| &&
        |7-14 j: qjsmcdzdqjgjpjjcjj\n| &&
        |2-3 s: sshscbks\n| &&
        |3-10 p: vppkpwpplpvp\n| &&
        |2-5 t: ftrrt\n| &&
        |3-7 c: cgrsczccpcpcc\n| &&
        |9-10 v: vvvvvvvvvxvvvvv\n| &&
        |2-3 v: vvsvw\n| &&
        |9-11 d: dddddxdjddbd\n| &&
        |3-4 p: pdpgrpj\n| &&
        |9-10 p: pwppppwpvpp\n| &&
        |4-18 r: hmrdmwvrnggrcgrsrrwg\n| &&
        |3-4 n: nnnnnf\n| &&
        |1-8 x: tblrxhhxwjb\n| &&
        |10-19 f: ffbffffpfffhfksflfkf\n| &&
        |5-12 s: sssjtsssssss\n| &&
        |5-6 z: zzzzfz\n| &&
        |7-8 n: nfnnnnrn\n| &&
        |8-9 x: xxxcxxxxx\n| &&
        |4-8 x: tcdxxxxdx\n| &&
        |3-4 x: xxwc\n| &&
        |6-8 h: whnhrvdlhhhhhhhxkd\n| &&
        |14-15 q: qqqjqmrnnqktdtq\n| &&
        |5-9 f: fhffkhfxhc\n| &&
        |6-8 c: cccccccwc\n| &&
        |17-19 s: ssssssssssmssssszss\n| &&
        |10-12 f: hffffffffzff\n| &&
        |6-7 k: nkmkkdkk\n| &&
        |4-9 v: bvvvvvxvwnvcv\n| &&
        |19-20 v: vvvvvvvvvvvvvvvvvvvv\n| &&
        |4-8 h: nhnhhhhvtvfh\n| &&
        |12-13 l: lltllllllllqll\n| &&
        |13-17 s: ssssssssssssnsssgs\n| &&
        |6-9 g: gdvctgcgzgrgf\n| &&
        |13-15 w: wwwwwwwwwwwwswb\n| &&
        |4-8 l: lllfllcglllljl\n| &&
        |8-9 q: flqqqqqrrqq\n| &&
        |4-5 w: wwwmww\n| &&
        |2-5 v: dqkgvhlmqvv\n| &&
        |6-8 g: gvtggvgg\n| &&
        |3-11 t: ntvttnqtgltttttt\n| &&
        |3-7 m: mmqmjmmm\n| &&
        |9-13 d: dddzddddddddndd\n| &&
        |3-7 j: jjqjhjt\n| &&
        |13-14 q: qqqqqqqqqqqqbq\n| &&
        |5-11 x: lxxxhxxxckxx\n| &&
        |5-6 q: qnqqqwqqq\n| &&
        |2-5 z: hzzskzzckj\n| &&
        |2-3 j: jjzm\n| &&
        |3-4 g: wggs\n| &&
        |1-3 v: vzsbsvv\n| &&
        |2-4 z: mrnz\n| &&
        |16-19 x: fxxxxbxxxxxxxxjxxxf\n| &&
        |6-7 x: xxxxxtx\n| &&
        |1-6 v: qvrvvvv\n| &&
        |4-5 w: hwwdww\n| &&
        |3-4 d: tljd\n| &&
        |6-13 v: nvcdjvjrvvvmqj\n| &&
        |6-10 v: gfqjlnxfvhw\n| &&
        |6-8 f: kzvffvffff\n| &&
        |5-6 r: rvrctrrwcrvr\n| &&
        |6-11 s: csfcvsxhgcsvh\n| &&
        |8-11 b: bbbwwmdbbbjjbtb\n| &&
        |5-13 x: lvxxbvtxbhvdx\n| &&
        |3-6 h: dhhhvmscwwbhbrbk\n| &&
        |4-5 s: gmpqsw\n| &&
        |2-12 z: pzncbwqpfbhsfzzz\n| &&
        |5-6 w: dwwbwqhgb\n| &&
        |2-13 l: llllllllllllcllllll\n| &&
        |1-9 v: vjjvvvvnvvvtvvd\n| &&
        |12-14 f: ffjffzftfcfrffbf\n| &&
        |2-5 b: brwzbs\n| &&
        |6-10 s: tnfszsnjvbwzzhtwqg\n| &&
        |5-6 p: pfkppppppppp\n| &&
        |3-5 n: vstnnnprjn\n| &&
        |9-18 s: sssssssssssssssssr\n| &&
        |1-6 d: wdldddnvdndfqvd\n| &&
        |3-5 t: kttjlcpttzt\n| &&
        |5-7 z: zzzzhlzz\n| &&
        |2-9 p: ppppppppjp\n| &&
        |7-9 v: vvzvvvvvvvvcv\n| &&
        |3-6 r: zrrtrrfpwgzbrtskt\n| &&
        |9-12 s: mptshmsssssslssss\n| &&
        |5-10 c: nccmccchjjthdtlcj\n| &&
        |18-20 r: rrrrrrrrrmrrrrrrrxrr\n| &&
        |2-14 f: frplctstcgdfff\n| &&
        |9-15 h: hfhzhhhhhvmfjhhfjhhh\n| &&
        |1-6 w: wwwwrpm\n| &&
        |4-6 f: hfffhcfjfszdzbbg\n| &&
        |7-10 w: xwwwwzhwrpwkw\n| &&
        |9-10 r: rrrrrrrrzr\n| &&
        |14-16 n: pngnnnnnnvnnnnnsnn\n| &&
        |14-15 p: gppppdpppjppzptpppp\n| &&
        |1-4 n: wnnnnnn\n| &&
        |12-13 t: tttttttttttgt\n| &&
        |4-5 n: nnwsd\n| &&
        |9-10 l: vlllllllln\n| &&
        |5-16 p: pppfxpxpspppmpkgppp\n| &&
        |1-10 v: vlvvtvlkvmgcdwvvtrv\n| &&
        |14-15 s: ssssssssjssskrg\n| &&
        |4-5 n: gxnnnn\n| &&
        |4-10 b: lvbqbjbbbbw\n| &&
        |5-6 k: xkrkfldcs\n| &&
        |5-6 n: nnsnnznfjnf\n| &&
        |6-9 v: gqvvmvvvpb\n| &&
        |14-18 f: sdffffwffflffsfffn\n| &&
        |2-4 m: mmdm\n| &&
        |11-12 g: ggnmgdmfhrpgzgr\n| &&
        |14-15 z: zzzzzzhzzzzzmzcz\n| &&
        |7-13 s: ssssssstssssj\n| &&
        |4-6 g: zgtbcg\n| &&
        |2-7 t: rttskmdpmvk\n| &&
        |6-20 n: nnkpnnnlnfnnbnpnnnnm\n| &&
        |9-10 w: zfpwwhwjwdwwwpwwjww\n| &&
        |3-9 d: ddldddddwdddd\n| &&
        |4-5 f: hfftmfcq\n| &&
        |1-2 w: zwbjt\n| &&
        |7-11 g: cggggkxggvgggtbmm\n| &&
        |5-9 d: dwgfdltddgndwd\n| &&
        |3-4 b: rbrbb\n| &&
        |6-10 z: fzzzzxzzkzxz\n| &&
        |4-5 z: zzhzjzffcz\n| &&
        |8-10 x: wwsxdbkxgd\n| &&
        |9-10 t: lttttfttdtttc\n| &&
        |13-17 d: dddddddtdnddddddrdd\n| &&
        |13-15 w: wwcwwwwwwwwwlwdwq\n| &&
        |4-18 r: rvrrrkwtrmrbrrrzfwlj\n| &&
        |11-14 j: jxjjjjjjtjjjjjv\n| &&
        |8-15 m: mkmmlmmmmmmmmrqmmm\n| &&
        |1-3 g: gsng\n| &&
        |3-11 n: ttdplnfpkmnrwcrqwbvr\n| &&
        |5-10 n: wgnqrlcnnnnnnn\n| &&
        |7-9 c: jgwbrcclt\n| &&
        |1-4 l: flml\n| &&
        |8-13 s: sjssqssrgssrz\n| &&
        |6-7 x: xlxbclxxxzxbwqx\n| &&
        |12-19 g: qlzcctgmgfmrvxgwvgzj\n| &&
        |4-5 w: wwwrr\n| &&
        |11-18 m: kmgxmjskmmmmmmmmmz\n| &&
        |12-16 f: ffqlfhzflqffffkfz\n| &&
        |1-6 k: kzkhrfxkkk\n| &&
        |10-11 x: vxfxxxbxxxxx\n| &&
        |4-6 d: gvqdwrclzsdmhglrz\n| &&
        |5-9 d: dwjddjddd\n| &&
        |1-3 n: ndcqcn\n| &&
        |4-5 r: rrrrh\n| &&
        |5-10 g: pkbxgvczgn\n| &&
        |4-6 w: wggwpfww\n| &&
        |2-4 g: glgggg\n| &&
        |7-8 h: hhhhhhhh\n| &&
        |12-16 h: nkvzdqlbsptvnrzh\n| &&
        |8-14 w: bwlwbwghwwwwtwwl\n| &&
        |4-11 q: vqsllpqnqdcbbtvqrqxb\n| &&
        |2-5 x: xkxxx\n| &&
        |4-10 c: cccjncjsccr\n| &&
        |10-18 h: xkswshrhghxlnmhqzr\n| &&
        |5-18 k: kkkkkkkhkkkklkkkknk\n| &&
        |9-10 t: ttttttttnt\n| &&
        |10-11 x: xxxxxxxxxcv\n|.
